Job;"1";;;;"b4cast ver. 807 (b4cast.com)";;;;"TECOMAT ENGENHARIA LTDA"
Case-name;;;;;"Calculated 09/02/2026 16:31";;;;"Rua Serra da Canastra, 391"
Subject;;;;;"Printed 09/02/2026 16:32";;;;"CEP 50610-000 Recife/PE-Brazil"
View-name;"work"
View-text;""

;;;;;;;;;"(Excel English version: ALT+h+o+i expands selected cells)"
Result Type;"Temperature (T)"

Time;"T-Max.1";
"[hours]";"[°C]";
0,0000000;35,0000000;
0,0416667;37,7612457;
0,0833333;37,4970741;
0,1250000;37,0628510;
0,1666667;36,8238792;
0,2083333;36,5079651;
0,2500000;36,3122330;
0,2916667;36,0717278;
0,3333333;35,9524040;
0,3750000;35,8224907;
0,4166667;35,7502670;
0,4583333;35,6399994;
0,5000000;35,5768967;
1,0000000;35,1983681;
1,5000000;35,2292290;
2,0000000;35,1741943;
2,5000000;35,0865402;
3,0000000;39,2167892;
3,5000000;43,5057564;
4,0000000;49,8341866;
4,5000000;58,1111031;
5,0000000;60,8462448;
5,5000000;62,4749260;
6,0000000;63,5045242;
6,5000000;65,0499344;
7,0000000;66,2296906;
7,5000000;66,4798508;
8,0000000;66,5783539;
8,5000000;66,6122742;
9,0000000;66,7278290;
9,5000000;66,8628616;
10,0000000;66,8507690;
10,5000000;66,8439484;
11,0000000;66,8475342;
11,5000000;66,8499451;
12,0000000;66,8504410;
12,5000000;66,8488770;
13,0000000;66,8450775;
13,5000000;66,8448486;
14,0000000;66,8454971;
14,5000000;66,8445282;
15,0000000;66,8420105;
15,5000000;66,8374176;
16,0000000;66,8305740;
16,5000000;66,8210907;
17,0000000;66,8089600;
17,5000000;66,7938156;
18,0000000;66,7755432;
18,5000000;66,7538452;
19,0000000;66,7288742;
19,5000000;66,7002258;
20,0000000;66,6681595;
20,5000000;66,6324539;
21,0000000;66,5932007;
21,5000000;66,5502930;
22,0000000;66,5038681;
22,5000000;66,4538040;
23,0000000;66,4043503;
23,5000000;66,3556442;
24,0000000;66,3040771;
24,5000000;66,2496185;
25,0000000;66,1923752;
25,5000000;66,1323471;
26,0000000;66,0696640;
26,5000000;66,0043106;
27,0000000;65,9364395;
27,5000000;65,8660431;
28,0000000;65,7932739;
28,5000000;65,7181320;
29,0000000;65,6407700;
29,5000000;65,5611877;
30,0000000;65,4795380;
30,5000000;65,3958206;
31,0000000;65,3101883;
31,5000000;65,2226486;
32,0000000;65,1333389;
32,5000000;65,0422668;
33,0000000;64,9495697;
33,5000000;64,8552551;
34,0000000;64,7594604;
34,5000000;64,6621780;
35,0000000;64,5635529;
35,5000000;64,4635696;
36,0000000;64,3623657;
36,5000000;64,2599411;
37,0000000;64,1564102;
37,5000000;64,0517654;
38,0000000;63,9461327;
38,5000000;63,8401337;
39,0000000;63,7336044;
39,5000000;63,6261673;
40,0000000;63,5186348;
40,5000000;63,4104614;
41,0000000;63,3016205;
41,5000000;63,1921043;
42,0000000;63,0820084;
42,5000000;62,9713173;
43,0000000;62,8602791;
43,5000000;62,7486992;
44,0000000;62,6367035;
44,5000000;62,5242157;
45,0000000;62,4113808;
45,5000000;62,2981148;
46,0000000;62,1845665;
46,5000000;62,0706482;
47,0000000;61,9565048;
47,5000000;61,8420525;
48,0000000;61,7274246;
48,5000000;61,6125374;
49,0000000;61,4975243;
49,5000000;61,3823013;
50,0000000;61,2669983;
50,5000000;61,1515312;
51,0000000;61,0360222;
51,5000000;60,9203873;
52,0000000;60,8047485;
52,5000000;60,6892166;
53,0000000;60,5737114;
53,5000000;60,4582024;
54,0000000;60,3427467;
54,5000000;60,2273140;
55,0000000;60,1119690;
55,5000000;59,9966774;
56,0000000;59,8814964;
56,5000000;59,7663956;
57,0000000;59,6514359;
57,5000000;59,5365753;
58,0000000;59,4218788;
58,5000000;59,3073082;
59,0000000;59,1929207;
59,5000000;59,0786781;
60,0000000;58,9646339;
60,5000000;58,8507576;
61,0000000;58,7370987;
61,5000000;58,6236229;
62,0000000;58,5103798;
62,5000000;58,3973351;
63,0000000;58,2845421;
63,5000000;58,1719589;
64,0000000;58,0596352;
64,5000000;57,9475403;
65,0000000;57,8357162;
65,5000000;57,7241287;
66,0000000;57,6128311;
66,5000000;57,5017776;
67,0000000;57,3910179;
67,5000000;57,2805176;
68,0000000;57,1703224;
68,5000000;57,0603905;
69,0000000;56,9507713;
69,5000000;56,8414268;
70,0000000;56,7324028;
